"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 19 12:18:06 CDT 2023","Fri May 19 12:18:13 CDT 2023","6321","","Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree",""
"passed","Fri May 19 12:14:05 CDT 2023","Fri May 19 12:14:08 CDT 2023","3913","","Register Page validation","","The user opens Register Page and entered valid user Details","","The user opens Register Page and entered valid user Details",""
"passed","Fri May 19 12:14:53 CDT 2023","Fri May 19 12:14:55 CDT 2023","2399","","Array Page","","User validate dropbox","","User validate dropbox",""
"passed","Fri May 19 12:19:11 CDT 2023","Fri May 19 12:19:15 CDT 2023","4589","","Graph","","User navigate to Graph Page for selected Topic and click on Try Here button","","User navigate to Graph Page for selected Topic and click on Try Here button",""
"passed","Fri May 19 12:18:58 CDT 2023","Fri May 19 12:19:04 CDT 2023","6339","","Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree",""
"passed","Fri May 19 12:19:15 CDT 2023","Fri May 19 12:19:26 CDT 2023","10351","","Graph","","User click on Try Here button and enter valid and invalid python code in tryEditor for Graph","","User click on Try Here button and enter valid and invalid python code in tryEditor for Graph",""
"passed","Fri May 19 12:17:43 CDT 2023","Fri May 19 12:17:48 CDT 2023","4685","","Tree","","User navigate to Tree Page for selected Topic  and click on Try Here button","","User navigate to Tree Page for selected Topic  and click on Try Here button",""
"passed","Fri May 19 12:18:19 CDT 2023","Fri May 19 12:18:26 CDT 2023","6706","","Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree",""
"passed","Fri May 19 12:15:10 CDT 2023","Fri May 19 12:15:18 CDT 2023","7568","","Array Page","","User validate ArrayPage","","User validate ArrayPage",""
"passed","Fri May 19 12:17:13 CDT 2023","Fri May 19 12:17:17 CDT 2023","4594","","Queue","","User navigate to Queue Page for selected Topic and click on Try Here button","","User navigate to Queue Page for selected Topic and click on Try Here button",""
"passed","Fri May 19 12:18:39 CDT 2023","Fri May 19 12:18:45 CDT 2023","6298","","Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree",""
"passed","Fri May 19 12:15:41 CDT 2023","Fri May 19 12:15:46 CDT 2023","5129","","Array Page","","User validate PracticeQuestion Array Page","","User validate PracticeQuestion Array Page",""
"passed","Fri May 19 12:17:06 CDT 2023","Fri May 19 12:17:12 CDT 2023","6312","","Stack","","User click on Try Here button and enter valid and invalid python code in tryEditor for Stack","","User click on Try Here button and enter valid and invalid python code in tryEditor for Stack",""
"passed","Fri May 19 12:15:46 CDT 2023","Fri May 19 12:15:49 CDT 2023","2394","","Linked List","","User navigate to Linked List Page for selected Topic","","User navigate to Linked List Page for selected Topic",""
"passed","Fri May 19 12:15:57 CDT 2023","Fri May 19 12:16:06 CDT 2023","8488","","Linked List","","User click on Try Here button and enter valid and invalid python code in tryEditor for LinkedList","","User click on Try Here button and enter valid and invalid python code in tryEditor for LinkedList",""
"passed","Fri May 19 12:15:25 CDT 2023","Fri May 19 12:15:26 CDT 2023","205","","Array Page","","PracticeQuestion Page","","PracticeQuestion Page",""
"passed","Fri May 19 12:17:12 CDT 2023","Fri May 19 12:17:13 CDT 2023","208","","Stack","","User navigate back to selected Stack Topic Page and try Practice Question Page","","User navigate back to selected Stack Topic Page and try Practice Question Page",""
"passed","Fri May 19 12:13:56 CDT 2023","Fri May 19 12:13:59 CDT 2023","2844","","Register Page validation","","The user is on Register Page and entered invalid user Details","","The user is on Register Page and entered invalid user Details",""
"passed","Fri May 19 12:19:26 CDT 2023","Fri May 19 12:19:36 CDT 2023","10368","","Graph","","User click on Try Here button and enter valid and invalid python code in tryEditor for Graph","","User click on Try Here button and enter valid and invalid python code in tryEditor for Graph",""
"passed","Fri May 19 12:17:54 CDT 2023","Fri May 19 12:18:00 CDT 2023","6190","","Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree",""
"passed","Fri May 19 12:14:09 CDT 2023","Fri May 19 12:14:11 CDT 2023","2307","","Register Page validation","","User logout from application after registration","","User logout from application after registration",""
"passed","Fri May 19 12:18:45 CDT 2023","Fri May 19 12:18:51 CDT 2023","6322","","Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree",""
"passed","Fri May 19 12:14:52 CDT 2023","Fri May 19 12:14:53 CDT 2023","226","","Data Structure Intro","","User navigate to Data Structure from dropdown and try Practice Question Page","","User navigate to Data Structure from dropdown and try Practice Question Page",""
"passed","Fri May 19 12:14:11 CDT 2023","Fri May 19 12:14:19 CDT 2023","8059","","SignIn","","User entered invalid login details on Login Page","","User entered invalid login details on Login Page",""
"passed","Fri May 19 12:18:51 CDT 2023","Fri May 19 12:18:58 CDT 2023","6363","","Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree",""
"passed","Fri May 19 12:18:13 CDT 2023","Fri May 19 12:18:19 CDT 2023","6322","","Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree",""
"passed","Fri May 19 12:13:36 CDT 2023","Fri May 19 12:13:40 CDT 2023","3933","","GetStart Page","","User launch Start page of an dsalgo project","","User launch Start page of an dsalgo project",""
"passed","Fri May 19 12:14:19 CDT 2023","Fri May 19 12:14:27 CDT 2023","8020","","SignIn","","User entered invalid login details on Login Page","","User entered invalid login details on Login Page",""
"passed","Fri May 19 12:14:42 CDT 2023","Fri May 19 12:14:44 CDT 2023","2033","","Data Structure Intro","","User navigate to Data Structure Page for selected Topic and click on Try Here button","","User navigate to Data Structure Page for selected Topic and click on Try Here button",""
"passed","Fri May 19 12:14:02 CDT 2023","Fri May 19 12:14:05 CDT 2023","2879","","Register Page validation","","The user is on Register Page and entered invalid user Details","","The user is on Register Page and entered invalid user Details",""
"passed","Fri May 19 12:15:03 CDT 2023","Fri May 19 12:15:10 CDT 2023","7518","","Array Page","","User validate ArrayPage","","User validate ArrayPage",""
"passed","Fri May 19 12:18:32 CDT 2023","Fri May 19 12:18:39 CDT 2023","6349","","Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree",""
"passed","Fri May 19 12:15:18 CDT 2023","Fri May 19 12:15:25 CDT 2023","7501","","Array Page","","User validate ArrayPage","","User validate ArrayPage",""
"passed","Fri May 19 12:17:00 CDT 2023","Fri May 19 12:17:06 CDT 2023","6326","","Stack","","User click on Try Here button and enter valid and invalid python code in tryEditor for Stack","","User click on Try Here button and enter valid and invalid python code in tryEditor for Stack",""
"passed","Fri May 19 12:15:31 CDT 2023","Fri May 19 12:15:36 CDT 2023","5122","","Array Page","","User validate PracticeQuestion Array Page","","User validate PracticeQuestion Array Page",""
"passed","Fri May 19 12:13:47 CDT 2023","Fri May 19 12:13:48 CDT 2023","1553","","Register Page validation","","User click register button with all fields blank","","User click register button with all fields blank",""
"passed","Fri May 19 12:15:26 CDT 2023","Fri May 19 12:15:31 CDT 2023","5135","","Array Page","","User validate PracticeQuestion Array Page","","User validate PracticeQuestion Array Page",""
"passed","Fri May 19 12:16:31 CDT 2023","Fri May 19 12:16:40 CDT 2023","8447","","Linked List","","User click on Try Here button and enter valid and invalid python code in tryEditor for LinkedList","","User click on Try Here button and enter valid and invalid python code in tryEditor for LinkedList",""
"passed","Fri May 19 12:19:04 CDT 2023","Fri May 19 12:19:10 CDT 2023","6309","","Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree",""
"passed","Fri May 19 12:13:48 CDT 2023","Fri May 19 12:13:50 CDT 2023","1624","","Register Page validation","","User click on register button with Password field blank","","User click on register button with Password field blank",""
"passed","Fri May 19 12:13:59 CDT 2023","Fri May 19 12:14:02 CDT 2023","2954","","Register Page validation","","The user is on Register Page and entered invalid user Details","","The user is on Register Page and entered invalid user Details",""
"passed","Fri May 19 12:15:36 CDT 2023","Fri May 19 12:15:41 CDT 2023","5090","","Array Page","","User validate PracticeQuestion Array Page","","User validate PracticeQuestion Array Page",""
"passed","Fri May 19 12:14:35 CDT 2023","Fri May 19 12:14:42 CDT 2023","6932","","Data Structure Intro","","User entered valid login details on Login Page and logged in","","User entered valid login details on Login Page and logged in",""
"passed","Fri May 19 12:14:27 CDT 2023","Fri May 19 12:14:35 CDT 2023","8010","","SignIn","","User entered valid login details on Login Page","","User entered valid login details on Login Page",""
"passed","Fri May 19 12:16:53 CDT 2023","Fri May 19 12:17:00 CDT 2023","6486","","Stack","","User click on Try Here button and enter valid and invalid python code in tryEditor for Stack","","User click on Try Here button and enter valid and invalid python code in tryEditor for Stack",""
"passed","Fri May 19 12:17:17 CDT 2023","Fri May 19 12:17:24 CDT 2023","6384","","Queue","","User click on Try Here button and enter valid and invalid python code in tryEditor for Queue","","User click on Try Here button and enter valid and invalid python code in tryEditor for Queue",""
"passed","Fri May 19 12:16:06 CDT 2023","Fri May 19 12:16:14 CDT 2023","8525","","Linked List","","User click on Try Here button and enter valid and invalid python code in tryEditor for LinkedList","","User click on Try Here button and enter valid and invalid python code in tryEditor for LinkedList",""
"passed","Fri May 19 12:19:36 CDT 2023","Fri May 19 12:19:36 CDT 2023","205","","Graph","","User navigate back to selected Graph Topic Page and try Practice Question Page","","User navigate back to selected Graph Topic Page and try Practice Question Page",""
"passed","Fri May 19 12:16:40 CDT 2023","Fri May 19 12:16:48 CDT 2023","8415","","Linked List","","User click on Try Here button and enter valid and invalid python code in tryEditor for LinkedList","","User click on Try Here button and enter valid and invalid python code in tryEditor for LinkedList",""
"passed","Fri May 19 12:16:48 CDT 2023","Fri May 19 12:16:53 CDT 2023","4654","","Stack","","User navigate to Stack Page for selected Topic","","User navigate to Stack Page for selected Topic",""
"passed","Fri May 19 12:15:49 CDT 2023","Fri May 19 12:15:57 CDT 2023","8574","","Linked List","","User click on Try Here button and enter valid and invalid python code in tryEditor for LinkedList","","User click on Try Here button and enter valid and invalid python code in tryEditor for LinkedList",""
"passed","Fri May 19 12:13:50 CDT 2023","Fri May 19 12:13:52 CDT 2023","1620","","Register Page validation","","User click on register button with valid Username & Password and confirm Password field as blank","","User click on register button with valid Username & Password and confirm Password field as blank",""
"passed","Fri May 19 12:17:30 CDT 2023","Fri May 19 12:17:36 CDT 2023","6302","","Queue","","User click on Try Here button and enter valid and invalid python code in tryEditor for Queue","","User click on Try Here button and enter valid and invalid python code in tryEditor for Queue",""
"passed","Fri May 19 12:17:48 CDT 2023","Fri May 19 12:17:54 CDT 2023","6415","","Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree",""
"passed","Fri May 19 12:19:10 CDT 2023","Fri May 19 12:19:11 CDT 2023","191","","Tree","","User navigate back to selected Tree Topic Page and try Practice Question Page","","User navigate back to selected Tree Topic Page and try Practice Question Page",""
"passed","Fri May 19 12:18:00 CDT 2023","Fri May 19 12:18:06 CDT 2023","6265","","Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree",""
"passed","Fri May 19 12:17:43 CDT 2023","Fri May 19 12:17:43 CDT 2023","157","","Queue","","User navigate back to selected Queue Topic Page and try Practice Question Page","","User navigate back to selected Queue Topic Page and try Practice Question Page",""
"passed","Fri May 19 12:13:43 CDT 2023","Fri May 19 12:13:47 CDT 2023","3333","","Register Page validation","","User click register button on Home page","","User click register button on Home page",""
"passed","Fri May 19 12:14:55 CDT 2023","Fri May 19 12:15:03 CDT 2023","7607","","Array Page","","User validate ArrayPage","","User validate ArrayPage",""
"passed","Fri May 19 12:16:14 CDT 2023","Fri May 19 12:16:23 CDT 2023","8437","","Linked List","","User click on Try Here button and enter valid and invalid python code in tryEditor for LinkedList","","User click on Try Here button and enter valid and invalid python code in tryEditor for LinkedList",""
"passed","Fri May 19 12:17:36 CDT 2023","Fri May 19 12:17:43 CDT 2023","6264","","Queue","","User click on Try Here button and enter valid and invalid python code in tryEditor for Queue","","User click on Try Here button and enter valid and invalid python code in tryEditor for Queue",""
"passed","Fri May 19 12:14:48 CDT 2023","Fri May 19 12:14:52 CDT 2023","4587","","Data Structure Intro","","User enter valid and invalid python code in tryEditor","","User enter valid and invalid python code in tryEditor",""
"passed","Fri May 19 12:14:44 CDT 2023","Fri May 19 12:14:48 CDT 2023","3623","","Data Structure Intro","","User enter valid and invalid python code in tryEditor","","User enter valid and invalid python code in tryEditor",""
"passed","Fri May 19 12:16:48 CDT 2023","Fri May 19 12:16:48 CDT 2023","197","","Linked List","","User navigate back to selected LinkedList Topic Page and try Practice Question Page","","User navigate back to selected LinkedList Topic Page and try Practice Question Page",""
"passed","Fri May 19 12:16:23 CDT 2023","Fri May 19 12:16:31 CDT 2023","8449","","Linked List","","User click on Try Here button and enter valid and invalid python code in tryEditor for LinkedList","","User click on Try Here button and enter valid and invalid python code in tryEditor for LinkedList",""
"passed","Fri May 19 12:13:40 CDT 2023","Fri May 19 12:13:43 CDT 2023","3656","","Home Page","","User is on Home page and click getstarted link/dropbox on  home page without sign in","","User is on Home page and click getstarted link/dropbox on  home page without sign in",""
"passed","Fri May 19 12:18:26 CDT 2023","Fri May 19 12:18:32 CDT 2023","6353","","Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree","","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree",""
"passed","Fri May 19 12:13:52 CDT 2023","Fri May 19 12:13:56 CDT 2023","4066","","Register Page validation","","The user is on Register Page and entered invalid user Details","","The user is on Register Page and entered invalid user Details",""
"passed","Fri May 19 12:17:24 CDT 2023","Fri May 19 12:17:30 CDT 2023","6420","","Queue","","User click on Try Here button and enter valid and invalid python code in tryEditor for Queue","","User click on Try Here button and enter valid and invalid python code in tryEditor for Queue",""
